product_id,title,usage,author,Sex,Location,rating,date,text,_id
8604443,,Usado para de 3 a 6 meses,Sujeet,Hombre,India,5.0,2024-05-08,Just a little tough on hands.,66426d16087e1022e1599da0
8604443,,Usado para de 7 a 12 meses,sandyosear,Unknown,Unknown,5.0,2024-05-03,Excellent project,66426d16087e1022e1599da1
8604443,,Usado para de 3 a 6 meses,jomit,Unknown,Unknown,4.0,2024-03-22,good,66426d17087e1022e1599da2
8604443,,Usado para Menos de 1 semana,Rajnarayan,Hombre,India,1.0,2024-03-11,🏀 बाल उखड रही है वारंटी के बाबजूद भी अभी तक मेल का कोई जवाब नहीं दिया गया है,66426d17087e1022e1599da3
8604443,,Usado para de 2 a 8 semanas,SAM,Unknown,Unknown,5.0,2024-01-19,The products are durable. I recommend all to buy sports product in decathion.,66426d17087e1022e1599da4
8604443,,Usado para de 2 a 8 semanas,PRINCIPAL,Unknown,Unknown,1.0,2024-01-19,"I had purchased two balls for our college. On the sports day on 21st December when I handed over the balls to the players , they found one of these two has less pressure . They put pressure by the pump purchased from your show room . But within two minutes it was exhausted. Even it couldn't be taken to the volleyball ground. By the 2nd ball the match was finished . Due to God's blessings that did not puncture. But we were in tension till the match is over.
Since our college is about 150 Km away from your showroom It couldn't be possible to return the ball . It is also not wise to spend 500/- towards bus fare to go to Cuttack and return the ball.
We don't know whether you will replace it with a new one or not. Still then I will take it with me if I go to Bhubaneswar on any Official work.
How is it possible? from the beginning it had defect. Why you did not check it before delivering it ?",66426d18087e1022e1599da5
8604443,,Usado para de 2 a 8 semanas,amit,Unknown,Unknown,5.0,2024-01-05,The quality of volleyball is superb. I have been using it for a while and I didn't see any problem till now.... it's worth buying from decathlon for any sports equipments and accessories.,66426d18087e1022e1599da6
8804083,Bon produit,Usado para más de 1 año,Lucie,Mujer,Francia,5.0,2024-05-09,Bon ballon pour les entraînements. Costaud et résistant.,66426d39087e1022e1599da7
8804083,Très bonne accroche,Usado para de 3 a 6 meses,Frederic,Unknown,Unknown,4.0,2023-10-28,Très bonne accroche,66426d3a087e1022e1599da8
8804083,Ok,Usado para Menos de 1 semana,Jean Louis,Unknown,Unknown,5.0,2023-10-24,Ok,66426d3a087e1022e1599da9
8804083,Fait le job,Usado para Menos de 1 semana,Jean louis,Unknown,Unknown,4.0,2023-10-20,Fait le job,66426d3a087e1022e1599daa
8804083,Top,Usado para Menos de 1 semana,Emmanuel,Unknown,Unknown,5.0,2023-10-02,Top,66426d3b087e1022e1599dab
8804083,Pour le plaisir d'apprendre…,Usado para Menos de 1 semana,Lydie,Unknown,Unknown,5.0,2023-09-16,Pour le plaisir d'apprendre le rugby,66426d3b087e1022e1599dac
8804083,Super ballon de rugby,Usado para de 3 a 6 meses,JACQUELINE,Unknown,Unknown,5.0,2023-08-26,Super ballon de rugby,66426d3c087e1022e1599dad
8804083,ballon standard taille 5…,Usado para de 2 a 8 semanas,severine,Unknown,Unknown,4.0,2023-07-17,"ballon standard taille 5 bon équilibre, bonne accroche du grip lors de la prise en main. Dommage que le rugby ne soit pas représenté (chaussure, crampons , maillots, ... dans vos magasins. seuls quelques articles encore en stocks précedemment restent à vendre.",66426d3c087e1022e1599dae
8804083,,Usado para de 7 a 12 meses,Francesca Ilaria,Mujer,Italia,5.0,2024-05-07,Bellissimo,66426d3c087e1022e1599daf
8804083,Recomand,Usado para de 2 a 8 semanas,Adrian,Unknown,Unknown,5.0,2024-04-15,Ok,66426d3c087e1022e1599db0
8790037,heil,Usado para Menos de 1 semana,Mario,Unknown,Unknown,5.0,2024-04-02,sehe guter Fussball,66426d71087e1022e1599db1
8790037,Bal,Usado para de 2 a 8 semanas,Eleano,Hombre,Bélgica,5.0,2024-05-03,Zeer goede bal,66426d71087e1022e1599db2
8668648,Fußball,Usado para de 2 a 8 semanas,Maria,Unknown,Unknown,2.0,2024-05-08,Leider war beim Fußball nach ein paar mal spielen schon die Naht geplatzt! ... Kulanz gabe es keine!!,66426de9087e1022e1599db3
8668648,Sehr guter Ball,Usado para de 2 a 8 semanas,Kerstin,Unknown,Unknown,5.0,2023-11-29,👍,66426de9087e1022e1599db4
8668622,top,Usado para de 7 a 12 meses,NICOLAS,Unknown,Unknown,5.0,2024-01-05,top,66426e0d087e1022e1599db5
8668622,,Usado para de 2 a 8 semanas,Antonio,Unknown,Unknown,3.0,2024-05-10,Per uso non professionale ha un buon rapporto qualità prezzo,66426e0d087e1022e1599db6
8668622,,Usado para Menos de 1 semana,idda,Unknown,Unknown,5.0,2024-05-03,Buon prodotto e buon rapporto qualità-prezzo,66426e0e087e1022e1599db7
8668622,,Usado para Menos de 1 semana,andrea,Unknown,Unknown,5.0,2024-04-11,Ottima roba.,66426e0e087e1022e1599db8
8668622,,Usado para Menos de 1 semana,VERONICA,Unknown,Unknown,5.0,2024-04-07,"Preso per mio figlio, spero non si sbucci velocemente come l'ultimo",66426e0f087e1022e1599db9
8668622,,Usado para de 2 a 8 semanas,mario luca,Unknown,Unknown,4.0,2024-04-04,Ottimo prodotto e rapporto qualità prezzo,66426e0f087e1022e1599dba
8668622,,Usado para de 2 a 8 semanas,Sebastiano,Unknown,Unknown,4.0,2024-03-20,Buono il rapporto qualità prezzo,66426e10087e1022e1599dbb
8668622,,Usado para Menos de 1 semana,vincenzo,Unknown,Unknown,5.0,2024-03-16,eccellente,66426e10087e1022e1599dbc
8668622,,Usado para Menos de 1 semana,ALBANO,Unknown,Unknown,5.0,2024-03-04,Ottimo,66426e10087e1022e1599dbd
8668622,,Usado para de 2 a 8 semanas,GIOVANNI,Unknown,Unknown,5.0,2024-02-19,Ottimo,66426e11087e1022e1599dbe
8853729,rugby de paques,Usado para de 2 a 8 semanas,hugues,Hombre,Francia,5.0,2024-04-20,"Très beau ballon pour mon petit fils ,motif d un oeuf de paques sans chocolat pour le sensibiliser au ballon ovale.",66426e34087e1022e1599dbf
8666537,Buena compra,Usado para de 3 a 6 meses,Agnieszka,Unknown,Unknown,5.0,2023-11-17,Le encanta a mi hijo de 6 años,66426e55087e1022e1599dc0
8666537,polecam!,Usado para de 7 a 12 meses,MARTA,Unknown,Unknown,5.0,2023-10-31,Piłka do piłki nożnej Polska rozmiar 5 2024 KIPSTA to dobry produkt w dobrej cenie.,66426e55087e1022e1599dc1
8666487,Very Good Quality :100:,Usado,Mani,Hombre,India,4.0,2024-04-19,Thnky Decathlon,66426e66087e1022e1599dc2
8666487,Not Bad.,Usado para Menos de 1 semana,Jeet,Hombre,India,3.0,2024-04-16,Average quality,66426e67087e1022e1599dc3
8666487,,Usado para de 2 a 8 semanas,Roshan Kumar B,Hombre,India,5.0,2023-08-28,Excelwnt,66426e67087e1022e1599dc4
8666487,便宜好用，花色也漂亮,Usado para de 2 a 8 semanas,士傑,Unknown,Unknown,5.0,2023-07-09,便宜好用，花色也漂亮,66426e67087e1022e1599dc5
8771766,,Usado,shellmie,Hombre,Malasia,4.0,2024-04-01,i buy coz its cheap thats all ... and I dont want to walk out the store not buying anything,66426e86087e1022e1599dc6
8771766,Au top,Usado para de 2 a 8 semanas,Lydie,Unknown,Unknown,5.0,2024-05-13,Au top,66426e86087e1022e1599dc7
8771766,Parfait,Usado para Menos de 1 semana,Omar,Unknown,Unknown,5.0,2024-04-29,Parfait,66426e86087e1022e1599dc8
8771766,Bon rapport qualité/prix.,Usado para de 2 a 8 semanas,Bastien,Unknown,Unknown,4.0,2024-03-29,Bon rapport qualité/prix.,66426e87087e1022e1599dc9
8771766,ballon enfant,Usado para de 7 a 12 meses,Céline,Unknown,Unknown,5.0,2024-03-19,chouette ballon pour enfants,66426e87087e1022e1599dca
8771766,Ballon au design sympa,Usado para Menos de 1 semana,elodie,Unknown,Unknown,4.0,2024-03-14,Ballon au design sympa,66426e87087e1022e1599dcb
8771766,Parfait,Usado para de 7 a 12 meses,Aurore,Unknown,Unknown,5.0,2024-02-26,Parfait,66426e88087e1022e1599dcc
8771766,Top,Usado para de 7 a 12 meses,Laurent,Unknown,Unknown,5.0,2024-01-13,Top,66426e88087e1022e1599dcd
8771766,Ras,Usado para de 7 a 12 meses,sandy,Unknown,Unknown,5.0,2023-10-28,Ras,66426e88087e1022e1599dce
8771766,Ras,Usado para de 3 a 6 meses,AHMED,Unknown,Unknown,4.0,2023-10-11,Ras,66426e89087e1022e1599dcf
8668644,Barato,Usado para de 2 a 8 semanas,Ferreira,Unknown,Unknown,4.0,2024-04-25,Para quem quer uma bola para jogar esporadicamente com os filhos,66426e9b087e1022e1599dd0
8668644,Bom,Usado para de 7 a 12 meses,Raul,Hombre,Portugal,5.0,2023-12-26,"Tamanho ideal para miúdos pequenos entre 4 ~8 anos
Permite aprender a controlar melhor a bola e treinar fintas curtas que com uma bola grande ainda lhes parece difícil se tiverem as pernas pequenas.",66426e9b087e1022e1599dd1
