id,name,genre,brand,sticker,price,previous_price,discount,description,rating,n_reviews,color,_id
8796499,Balón de baloncesto niño BT500 TOUCH T5,Unisex,TARMAK,,24.99,,False,"Balón de baloncesto de la talla 5 para jugar en exterior o en interior, para niños y niñas de 7 a 10 años.",4.5,38,verde / azul / naranja,66425770f8fe2680f3a09ac9
8816710,Balón de vóley playa - BV100 classic talla 5 - colorido,Unisex,COPAYA,,8.99,,False,"Balón desarrollado por nuestros equipos de diseño para el nivel iniciación y la práctica de ocio del vóley playa, en familia o entre amigos.",5.0,7,azul,66425779f8fe2680f3a09aca
8753531,Balón de fútbol Sunny 300 talla 4 naranja,Unisex,KIPSTA,,4.49,,False,"Nuestros diseñadores futbolistas han desarrollado el balón Sunny 300 para los más pequeños que empiezan a regatear, chutar o juguetear con el balón.",4.5,872,naranja,66425781f8fe2680f3a09acb
8600233,Balón Fútbol Espuma Imviso talla 1 zul,Unisex,KIPSTA,,3.99,,False,Hemos desarrollado este balón para que los más pequeños se familiaricen con los primeros movimientos técnicos del fútbol sala con total seguridad.,4.7,243,,6642578af8fe2680f3a09acc
89d3de5a-9d33-42fd-976e-761f14e7928f_c20.c14,Balón de baloncesto Molten B5G3800 Talla 5,Unisex,MOLTEN,,54.95,,False,"Diseñado en color marrón, de construcción laminada y cuenta con la homologación FIBA. Compuesto por 12 paneles y una cámara interior de butilo que mantiene la presión del aire evitando su perdida.",,0,naranja / rojo / rojo,66425793f8fe2680f3a09acd
8676298,Balón de fútbol First Kick talla 5 (jugadores de 12 años o más) amarillo,Unisex,KIPSTA,,5.49,,False,"Hemos concebido y desarrollado este balón para jóvenes futbolistas que se inician en el fútbol, o que juegan ocasionalmente.",4.4,1697,amarillo,6642579bf8fe2680f3a09ace
8641261,Balón Baloncesto 3x3 Tarmak BT500 Talla 6 con peso de Talla 7,Unisex,TARMAK,,24.99,,False,"Balón de baloncesto de la talla 6 oficial, adecuado para jugar al baloncesto 3x3 en exterior y/o en interior.",4.4,23,,664257a4f8fe2680f3a09acf
8790034,Balón de fútbol Hybride FIFA BASIC CLUB BALL talla 5 blanco,Unisex,KIPSTA,,14.99,,False,"Homologado por la FIFA para los entrenamientos y las competiciones, hemos diseñado el CLUB HÍBRIDO, un balón que combina una buena comodidad de uso con una gran durabilidad.",4.9,22,blanco nieve,664257aff8fe2680f3a09ad0
8753538,Balón de fútbol Light LEARNING BALL AMARILLO ROSA TALLA 5,Unisex,KIPSTA,,9.99,,False,"Hemos diseñado específicamente este balón LEARNING BALL para los niños. Es más ligero que un balón de fútbol tradicional, lo que facilita el aprendizaje.",4.4,368,amarillo sol,664257b7f8fe2680f3a09ad1
8602094,BALÓN DE VOLEIBOL V100 SOFT 200-220 G AZUL/AMARILLO PARA NIÑOS 6-9 AÑOS,Unisex,ALLSIX,,11.99,,False,"Balón pedagógico, ideal para el aprendizaje del voleibol. Para cada tramo de edad, estos balones tienen un peso distinto para facilitar el aprendizaje.",4.3,113,,664257c0f8fe2680f3a09ad2
c01d6e55-7891-44ae-bead-384f5ca1fea4_c20,Balón de baloncesto Spalding LayUp TF-50,Unisex,SPALDING,,23.99,,False,"Gracias a su excelente durabilidad y resistencia, así como a sus buenas características técnicas, es el balón perfecto para el juego recreativo en campos al aire libre.",5.0,1,naranja,664257caf8fe2680f3a09ad3
8845027,Balón de baloncesto Wilson FIBA 3X3 OFFICIAL FIBA,Unisex,WILSON,,35.99,39.99,True,Entrenamiento o competicion de la más alta exigencia para la práctica del baloncesto 3x3 en exterior o en interior,5.0,2,,664257d3f8fe2680f3a09ad4
8853511,Balón de baloncesto talla 5 - R500 Rosa Negro,Unisex,TARMAK,,14.99,,False,"Balón de baloncesto de talla 5 oficial, adecuado para jugar en exterior o en interior, para niños y niñas de 7 a 10 años.",4.6,135,,664257dbf8fe2680f3a09ad5
8648074,"Balón baloncesto BT100 talla 5 naranja para niños hasta 10 años, para iniciarse.",Unisex,TARMAK,,16.99,,False,"Balón de baloncesto de talla 5 oficial, adecuado para jugar en exterior o en interior, para niños y niñas de 7 a 10 años.",4.9,24,,664257e3f8fe2680f3a09ad6
8625753,Balón de baloncesto talla 7 - SP Molten B7G 4500 Naranja,Unisex,MOLTEN,,76.49,79.99,True,"Concebido para jugadores de baloncesto, para las competiciones en el interior.",4.8,6,,664257ecf8fe2680f3a09ad7
8579041,Balón de Rugby Offload R100 Training Talla 5 Azul,Unisex,OFFLOAD,,14.99,,False,Hemos desarrollado este balón para los entrenamientos en el campo del equipo local o en club. Disponible en T. 5 para niños mayores de 15 años.,4.6,22,blanco nieve / azul marino claro,664257f5f8fe2680f3a09ad8
8774094,Balón de fútbol Ballground 100 azul/azul,Unisex,KIPSTA,,6.99,,False,Hemos desarrollado el balón Ballground 100 para disfrutar jugando al fútbol en cualquier terreno de juego.,4.3,188,azul nube / negro,664257fdf8fe2680f3a09ad9
b785bb0f-8a17-44fc-b354-f897935c6ec6_c20,Balón baloncesto Molten BG3800,Unisex,MOLTEN,,54.95,,False,"Aprobado por la FIBA, este balón es adecuado para suelos sintéticos de todo tipo y suelos de parquet.",,0,naranja / naranja / naranja,66425806f8fe2680f3a09ada
